"orden";"sitios";"codigo";"fecha";"año";"campaña";"tem_agua";"tem_aire";"od";"ph";"olores";"color";"espumas";"mat_susp";"colif_fecales_ufc_100ml";"escher_coli_ufc_100ml";"enteroc_ufc_100ml";"nitrato_mg_l";"nh4_mg_l";"p_total_l_mg_l";"fosf_ortofos_mg_l";"dbo_mg_l";"dqo_mg_l";"turbiedad_ntu";"hidr_deriv_petr_ug_l";"cr_total_mg_l";"cd_total_mg_l";"clorofila_a_ug_l";"microcistina_ug_l";"ica";"calidad_de_agua"
"1";"Canal Villanueva y Río Luján";"TI001";"23/2/2022";"2022";"Verano";"24.5";"23.3";"5.3";"6.56";"Ausencia";"Ausencia";"Ausencia";"Presencia";"2200";"100";"130";"2.9";"0.42";"0.23";"0.15";"6.2";"29";"90";"<0.10";"<0.005";"<0.001";"<10";"<0.20";"55";"Muy deteriorada"
"2";"Río Lujan y Arroyo Caraguatá";"TI006";"23/2/2022";"2022";"Verano";"25.4";"23.3";"2.25";"6.56";"Presencia";"Presencia";"Ausencia";"Ausencia";"1200";"200";"400";"3.3";"0.51";"0.41";"0.35";"5.8";"29";"34";"<0.10";"<0.005";"<0.001";"<10";"<0.20";"42";"Extremadamente deteriorada"
"3";"Canal Aliviador y Río Lujan";"TI002";"23/2/2022";"2022";"Verano";"24.6";"23.3";"2.94";"6.59";"Ausencia";"Presencia";"Ausencia";"Ausencia";"1800";"200";"580";"6.5";"0.05";"0.59";"0.54";"1.9";"29";"17";"<0.10";"<0.005";"<0.001";"<10";"0.2";"45";"Muy deteriorada"
"4";"Río Carapachay y Arroyo Gallo Fiambre";"TI003";"23/2/2022";"2022";"Verano";"25.2";"23.3";"2.22";"7.45";"Presencia";"Presencia";"Ausencia";"Ausencia";"1400";"100";"300";"7.4";"1";"0.38";"0.4";"5.8";"29";"23";"<0.10";"<0.005";"<0.001";"<10";"<0.20";"46";"Muy deteriorada"
"5";"Río Reconquista y Río Lujan";"TI004";"23/2/2022";"2022";"Verano";"24.1";"20";"1.02";"6.39";"Ausencia";"Presencia";"Ausencia";"Presencia";"1100";"100";"370";"8.8";"0.049";"0.55";"0.54";"2.6";"59";"18";"<0.10";"<0.005";"<0.001";"<10";"<0.20";"44";"Extremadamente deteriorada"
"6";"Rio Tigre 100m antes del Rio Luján";"TI005";"23/2/2022";"2022";"Verano";"24.9";"23.3";"3.5";"6.53";"Ausencia";"Ausencia";"Ausencia";"Presencia";"3200";"200";"750";"4.4";"3.5";"1.1";"0.91";"3.9";"130";"8.9";"<0.10";"<0.005";"<0.001";"<10";"<0.20";"40";"Extremadamente deteriorada"
"7";"Río Lujan y Canal San Fernando";"TI007";"23/2/2022";"2022";"Verano";"24.5";"20";"1.5";"6.54";"Ausencia";"Presencia";"Ausencia";"Presencia";"18000";"1500";"100";"5.6";"2";"0.73";"0.6";"3.5";"42";"12";"<0.10";"<0.005";"<0.001";"<10";"0.4";"35";"Extremadamente deteriorada"
"8";"Río Capitán y Río San Antonio";"TI008";"23/2/2022";"2022";"Verano";"24.5";"21";"6.3";"6.48";"Ausencia";"Presencia";"Ausencia";"Ausencia";"1000";"200";"1200";"3.1";"0.049";"0.17";"0.16";"5.5";"69";"90";"<0.10";"<0.005";"<0.001";"<10";"<0.20";"46";"Muy deteriorada"
"9";"Arroyo Abra Vieja y Santa Rosa";"TI009";"23/2/2022";"2022";"Verano";"23.4";"21";"4.49";"6.76";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"400";"100";"220";"1.9";"0.1";"0.21";"0.19";"1.9";"29";"39";"<0.10";"<0.005";"<0.001";"<10";"<0.20";"58";"Muy deteriorada"
"10";"Del Arca";"SF015";"23/2/2022";"2022";"Verano";"21.5";"23";"3.85";"6.66";"Ausencia";"Ausencia";"Ausencia";"Presencia";"2200";"100";"270";"5.4";"0.049";"0.28";"0.39";"1.9";"29";"28";"<0.10";"<0.005";"<0.001";"<10";"<0.20";"51";"Muy deteriorada"
"11";"Espigón La Farola";"SI021";"23/2/2022";"2022";"Verano";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"NA";""
"12";"Reserva Ecológica";"SI022";"23/2/2022";"2022";"Verano";"27";"26";"5.83";"6.9";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"6000";"800";"760";"5.9";"0.75";"0.22";"0.18";"1.9";"41";"19";"<0.10";"<0.005";"<0.001";"<10";"<0.20";"46";"Muy deteriorada"
"13";"Playa Espigón de Pacheco";"SI024";"23/2/2022";"2022";"Verano";"26.5";"27";"5.3";"7.49";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"NA";""
"14";"Perú Puente";"SI023";"23/2/2022";"2022";"Verano";"26.1";"27";"1.8";"6.2";"Ausencia";"Ausencia";"Ausencia";"Presencia";"28000";"5200";"3300";"1.9";"7.2";"0.43";"0.32";"7.1";"29";"7.5";"<0.10";"<0.005";"<0.001";"<10";"<0.20";"33";"Extremadamente deteriorada"
"15";"Reserva Barrio El Ceibo";"VL033";"23/2/2022";"2022";"Verano";"no se midió";"23";"no se midió";"no se midió";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"5500";"100";"650";"4.9";"0.94";"0.28";"0.33";"1.9";"29";"14";"<0.10";"<0.005";"<0.001";"<10";"<0.20";"45";"Muy deteriorada"
"16";"Puerto de Olivos Espigón";"VL032";"23/2/2022";"2022";"Verano";"no se midió";"22";"no se midió";"no se midió";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"6500";"200";"1700";"7.3";"0.63";"0.27";"0.32";"1.9";"29";"17";"<0.10";"<0.005";"<0.001";"<10";"<0.20";"40";"Extremadamente deteriorada"
"17";"Costa y Melo";"VL031";"23/2/2022";"2022";"Verano";"no se midió";"22";"no se midió";"no se midió";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"4200";"500";"240";"5.9";"0.41";"0.24";"0.69";"1.9";"29";"22";"<0.10";"<0.005";"<0.001";"<10";"<0.20";"47";"Muy deteriorada"
"18";"Parque de los Niños";"CA041";"23/2/2022";"2022";"Verano";"26.1";"no se midió";"4.8";"7.4";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"1800";"1300";"10";"4.6";"1.2";"0.24";"0.2";"no se midió";"29";"22";"no se midió";"<0.005";"<0.002";"no se midió";"no se midió";"54";"Muy deteriorada"
"19";"Costanera Norte - Espigón Abanico";"CA044";"23/2/2022";"2022";"Verano";"25.4";"no se midió";"7.3";"7.4";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"900";"700";"30";"4";"0.9";"0.33";"0.36";"11";"29";"22";"no se midió";"<0.005";"<0.002";"no se midió";"no se midió";"59";"Muy deteriorada"
"20";"Club de Pescadores";"CA046";"23/2/2022";"2022";"Verano";"24.7";"no se midió";"5.6";"7.4";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"1300";"600";"100";"3.1";"0.6";"0.22";"0.2";"7";"29";"35";"no se midió";"<0.005";"<0.002";"no se midió";"no se midió";"60";"Muy deteriorada"
"21";"Reserva Ecológica Costanera Sur - Playita";"CA047";"23/2/2022";"2022";"Verano";"24.7";"no se midió";"8";"7.5";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"400";"200";"20";"5.1";"0.5";"0.18";"0.35";"4.9";"29";"31";"no se midió";"<0.005";"<0.002";"no se midió";"no se midió";"76";"Deteriorada"
"22";"Escollera de Propaneros";"AV054";"23/2/2022";"2022";"Verano";"27.4";"22.2";"3.63";"7.43";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"2700";"2100";"350";"10";"0.049";"0.65";"0.65";"5.2";"29";"12";"<0.10";"<0.005";"<0.001";"70.8";"<0.20";"44";"Extremadamente deteriorada"
"23";"Polo Petroquímico Dock Sud";"AV051";"23/2/2022";"2022";"Verano";"25.7";"22.2";"4.13";"7.58";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"5200";"600";"180";"6.9";"0.97";"0.42";"0.34";"5.2";"46";"22";"<0.10";"<0.005";"<0.001";"20.7";"<0.20";"45";"Muy deteriorada"
"24";"Arroyo Sarandí";"AV052";"23/2/2022";"2022";"Verano";"26.3";"25.2";"4.43";"7.81";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"2500";"2000";"140";"8.6";"0.049";"0.69";"0.52";"9.2";"29";"17";"<0.10";"<0.005";"<0.001";"130.2";"<0.20";"44";"Extremadamente deteriorada"
"25";"Costa de Villa Domínico";"AV055";"23/2/2022";"2022";"Verano";"25.1";"25.2";"7.51";"8.62";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"1400";"300";"2200";"8.9";"0.8";"0.85";"0.49";"15";"94";"19";"<0.10";"<0.005";"<0.001";"<10";"<0.20";"39";"Extremadamente deteriorada"
"26";"Arroyo Santo Domingo";"AV053";"23/2/2022";"2022";"Verano";"25.8";"25.2";"9.29";"8.83";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"3800";"1600";"1100";"6.5";"1.9";"0.8";"0.69";"14";"35";"13";"<0.10";"<0.005";"<0.001";"<10";"<0.20";"39";"Extremadamente deteriorada"
"27";"Espora 400 m";"QU061";"23/2/2022";"2022";"Verano";"23";"22";"10.6";"8.2";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"1200";"100";"20";"6";"0.049";"0.4";"0.39";"1.9";"29";"26";"<0.10";"<0.005";"<0.001";"42.1";"<0.20";"59";"Muy deteriorada"
"28";"Náutico 400 m";"QU062";"23/2/2022";"2022";"Verano";"24";"23";"9.59";"7.94";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"1000";"100";"10";"5.7";"0.06";"0.39";"0.29";"no se midió";"29";"26";"<0.10";"<0.005";"<0.001";"28";"1";"48";"Muy deteriorada"
"29";"Pejerrey Club 400 m";"QU063";"23/2/2022";"2022";"Verano";"23";"22";"12.15";"8.5";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"1000";"200";"10";"4.3";"0.049";"0.37";"0.31";"4.4";"49";"36";"<0.10";"<0.005";"<0.001";"140.8";"<0.20";"55";"Muy deteriorada"
"30";"Calle 14 y Costa - Salida cloaca";"BZ078";"23/2/2022";"2022";"Verano";"23";"20";"7.91";"7.93";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"3000";"100";"450";"4.1";"0.08";"0.37";"0.27";"12";"29";"45";"<0.10";"<0.005";"<0.001";"164.9";"<0.20";"48";"Muy deteriorada"
"31";"Puerto Trinidad calle 47";"BZ077";"23/2/2022";"2022";"Verano";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"NA";""
"32";"Costanera Hudson Calle 63";"BZ080";"23/2/2022";"2022";"Verano";"26";"23";"9.58";"9.01";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"1100";"300";"1500";"4";"0.08";"0.57";"0.58";"7.2";"135";"85";"<0.10";"<0.005";"<0.001";"414.8";"1";"40";"Extremadamente deteriorada"
"33";"Boca Cerrada (Res.Nat. Punta Lara)";"EN-extra";"23/2/2022";"2022";"Verano";"no se midió";"25";"no se midió";"no se determinó";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"";"";"";"5.6";"0.049";"0.33";"0.32";"3.1";"29";"45";"<0.10";"0.005";"<0.001";"54.1";"<0.20";"55";"Muy deteriorada"
"34";"Camping Eva Perón";"EN081";"23/2/2022";"2022";"Verano";"23.4";"27";"10.34";"9.16";"Presencia";"Presencia";"Presencia";"Presencia";"1200";"100";"40";"5.2";"0.06";"0.39";"0.38";"4.7";"29";"65";"<0.10";"<0.005";"<0.001";"77.2";"<0.20";"42";"Extremadamente deteriorada"
"35";"Toma de agua Club de Pesca";"EN082";"23/2/2022";"2022";"Verano";"24.7";"27";"7.17";"8.11";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"750";"300";"130";"6.3";"0.049";"0.35";"0.24";"1.9";"29";"34";"<0.10";"<0.005";"<0.001";"13.4";"<0.20";"56";"Muy deteriorada"
"36";"Arroyo El Gato";"EN083";"23/2/2022";"2022";"Verano";"24.2";"27";"3.54";"7.76";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"5000";"400";"850";"13.1";"0.049";"0.33";"0.21";"7.4";"29";"12";"<0.10";"<0.005";"<0.001";"<10";"<0.20";"46";"Muy deteriorada"
"37";"Ensenada Prefectura Isla Santiago";"EN084";"23/2/2022";"2022";"Verano";"23.9";"27";"8.08";"8.31";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"1800";"100";"80";"8";"0.1";"0.27";"0.22";"1.9";"29";"35";"<0.10";"<0.005";"<0.001";"17.4";"<0.20";"57";"Muy deteriorada"
"38";"Balneario Palo Blanco";"BS092";"23/2/2022";"2022";"Verano";"22";"20";"6.59";"7.91";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"700";"100";"360";"2.9";"0.049";"1.3";"0.5";"5";"29";"11";"<0.10";"<0.005";"<0.001";"<10";"<0.20";"50";"Muy deteriorada"
"39";"Diagonal 66 (descarga cloaca)";"BS095";"23/2/2022";"2022";"Verano";"20";"18";"6.56";"8.11";"Presencia";"Presencia";"Presencia";"Presencia";"150000";"2800";"20000";"2";"0.049";"1.5";"1.3";"8.4";"29";"4.1";"<0.10";"<0.005";"<0.001";"<10";"<0.20";"31";"Extremadamente deteriorada"
"40";"Playa La Bagliardi";"BS091";"23/2/2022";"2022";"Verano";"20";"18";"6.03";"7.3";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"3500";"200";"1800";"1.9";"0.23";"1.4";"0.44";"5.4";"47";"18";"<0.10";"<0.005";"<0.001";"<10";"<0.20";"44";"Extremadamente deteriorada"
"41";"Balneario Municipal";"BS094";"23/2/2022";"2022";"Verano";"20";"17";"7.4";"7.84";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"5000";"200";"1100";"2.2";"0.45";"0.44";"0.68";"";"29";"130";"<0.10";"0.0062";"<0.001";"<10";"0.3";"44";"Extremadamente deteriorada"
"42";"Playa La Balandra";"BS093";"23/2/2022";"2022";"Verano";"20";"17";"6.99";"7.75";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"6000";"100";"7500";"1.9";"0.18";"0.54";"0.85";"2.4";"32";"110";"<0.10";"0.0061";"<0.001";"<10";"<0.20";"42";"Extremadamente deteriorada"
"1";"Canal Villanueva y Río Luján";"TI001";"4/5/2022";"2022";"otoño";"19.6";"16";"7.73";"7.03";"Ausencia";"Ausencia";"Ausencia";"Presencia";"1000";"200";"50";"7.7";"<0.05";"0.17";"0.10";"3.4";"48";"60";"<0.10";"<0.005";"<0.001";"<10";"<0.15";"59";"Muy deteriorada"
"2";"Río Lujan y Arroyo Caraguatá";"TI006";"4/5/2022";"2022";"otoño";"18.6";"16";"4.28";"6.72";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"150000";"12000";"1440";"8.8";"0.6";"0.30";"0.27";"4.6";"62";"60";"<0.10";"<0.005";"<0.001";"<10";"<0.15";"36";"Extremadamente deteriorada"
"3";"Canal Aliviador y Río Lujan";"TI002";"4/5/2022";"2022";"otoño";"18.6";"16";"5.47";"6.8";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"40000";"10000";"110";"3.9";"<0.05";"0.33";"0.29";"<2.0";"49";"65";"<0.10";"0.006";"<0.001";"<10";"<0.15";"42";"Extremadamente deteriorada"
"4";"Río Carapachay y Arroyo Gallo Fiambre";"TI003";"4/5/2022";"2022";"otoño";"18.2";"16";"5.79";"6.94";"Ausencia";"Presencia";"Ausencia";"Ausencia";"60000";"2000";"380";"4.5";"0.05";"0.25";"0.22";"2.5";"39";"80";"<0.10";"<0.005";"<0.001";"<10";"<0.15";"40";"Extremadamente deteriorada"
"5";"Río Reconquista y Río Lujan";"TI004";"4/5/2022";"2022";"otoño";"18.2";"16";"4.9";"6.85";"Presencia";"Ausencia";"Ausencia";"Presencia";"28000";"5200";"460";"8.5";"0.25";"0.71";"0.35";"3.6";"67";"70";"<0.10";"0.01";"<0.001";"<10";"<0.15";"37";"Extremadamente deteriorada"
"6";"Rio Tigre 100m antes del Rio Luján";"TI005";"4/5/2022";"2022";"otoño";"17";"13";"4.29";"6.76";"Ausencia";"Ausencia";"Ausencia";"Presencia";"106000";"8000";"770";"11.3";"0.21";"0.51";"0.41";"3.5";"54";"80";"<0.10";"0.009";"<0.001";"<10";"<0.15";"37";"Extremadamente deteriorada"
"7";"Río Lujan y Canal San Fernando";"TI007";"4/5/2022";"2022";"otoño";"17.4";"13";"5.05";"6.74";"Ausencia";"Ausencia";"Ausencia";"Presencia";"30000";"2300";"300";"8.3";"0.26";"0.33";"0.30";"2.8";"63";"60";"<0.10";"<0.005";"<0.001";"<10";"<0.15";"41";"Extremadamente deteriorada"
"8";"Río Capitán y Río San Antonio";"TI008";"4/5/2022";"2022";"otoño";"18.3";"13";"7.85";"7.02";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"2500";"300";"50";"3.9";"<0.05";"0.10";"0.10";"<2.0";"60";"50";"<0.10";"<0.005";"<0.001";"<10";"<0.15";"58";"Muy deteriorada"
"9";"Arroyo Abra Vieja y Santa Rosa";"TI009";"4/5/2022";"2022";"otoño";"18.5";"16";"7.85";"7.32";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"2200";"50";"50";"2.6";"<0.05";"0.13";"0.11";"<2.0";"58";"65";"<0.10";"<0.005";"<0.001";"<10";"<0.15";"61";"Muy deteriorada"
"10";"Del Arca";"SF015";"4/5/2022";"2022";"otoño";"17";"14";"5.56";"7.3";"ausencia";"ausencia";"ausencia";"ausencia";"90000";"4200";"1500";"5.1";"0.98";"0.26";"0.24";"<2.0";"34";"50";"<0.10";"<0.005";"<0.001";"<10";"<0.15";"39";"Extremadamente deteriorada"
"11";"Espigón La Farola";"SI021";"4/5/2022";"2022";"otoño";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"NA";""
"12";"Reserva Ecológica";"SI022";"4/5/2022";"2022";"otoño";"17.5";"16";"6.7";"7.1";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"3500";"300";"160";"6.1";"0.45";"0.18";"0.15";"<2.0";"180";"45";"<0.10";"<0.005";"<0.001";"<10";"<0.15";"55";"Muy deteriorada"
"13";"Playa Espigón de Pacheco";"SI024";"4/5/2022";"2022";"otoño";"17.4";"18";"6.5";"7.39";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"10000";"4500";"440";"8.2";"0.91";"0.25";"0.25";"<2.0";"80";"31";"<0.10";"<0.005";"<0.001";"<10";"<0.15";"44";"Extremadamente deteriorada"
"14";"Perú Puente";"SI023";"4/5/2022";"2022";"otoño";"20";"17";"1.39";"7.4";"Ausencia";"Ausencia";"Ausencia";"Presencia";"96000";"44000";"4200";"10.8";"5.7";"0.77";"0.73";"5.2";"57";"2.5";"<0.10";"<0.005";"<0.001";"<10";"<0.15";"35";"Extremadamente deteriorada"
"15";"Reserva Barrio El Ceibo";"VL033";"4/5/2022";"2022";"otoño";"no se midió";"23";"no se midió";"no se midió";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"3000";"700";"350";"9.1";"0.41";"0.23";"0.20";"<2.0";"54";"27";"<0.10";"<0.005";"<0.001";"<10";"<0.15";"50";"Muy deteriorada"
