"orden";"sitios";"codigo";"fecha";"año";"campaña";"tem_agua";"tem_aire";"od";"ph";"olores";"color";"espumas";"mat_susp";"colif_fecales_ufc_100ml";"escher_coli_ufc_100ml";"enteroc_ufc_100ml";"nitrato_mg_l";"nh4_mg_l";"p_total_l_mg_l";"fosf_ortofos_mg_l";"dbo_mg_l";"dqo_mg_l";"turbiedad_ntu";"hidr_deriv_petr_ug_l";"cr_total_mg_l";"cd_total_mg_l";"clorofila_a_ug_l";"microcistina_ug_l";"ica";"calidad_de_agua"
"31";"Puerto Trinidad calle 47";"BZ077";"23/8/2022";"2022";"invierno";"10.01";"16";"10.22";"8.22";"Presencia";"Ausencia";"Ausencia";"Presencia";"20000";"290";"50";"12.2";"1.9";"0.4";"0.4";"12";"<30";"13";" <0.10";"<0.005";"<0.001";"2130";" <0.15";"33";"Extremadamente deteriorada"
"32";"Costanera Hudson Calle 63";"BZ080";"23/8/2022";"2022";"invierno";"15.1";"15.2";"11.82";"8.37";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"58000";"500";"80";"12.2";"1.5";"0.36";"0.36";"9";"<30";"14";" <0.10";"<0.005";"<0.001";"2500";" <0.15";"38";"Extremadamente deteriorada"
"33";"Boca Cerrada (Res.Nat. Punta Lara)";"EN-extra";"23/8/2022";"2022";"invierno";"no se midió";"16";"no se midió";"no se midió";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"2600";"200";"10";"13.3";"0.88";"0.35";"0.27";"9.4";"<30";"16";" <0.10";"<0.005";"<0.001";"3590";" <0.15";"42";"Extremadamente deteriorada"
"34";"Camping Eva Perón";"EN081";"23/8/2022";"2022";"invierno";"13.9";"10";"10.88";"8.52";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"2400";"370";"140";"13.2";"5.6";"0.95";"0.95";"9.3";"<30";"16";" <0.10";"<0.005";"<0.001";"280";" 0.21";"42";"Extremadamente deteriorada"
"35";"Toma de agua Club de Pesca";"EN082";"23/8/2022";"2022";"invierno";"13";"10";"8.14";"8.14";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"4000";"110";"113";"14.4";"0.33";"0.26";"0.26";"6.5";"<30";"18";" <0.10";"<0.005";"<0.001";"4650";" 0.25";"45";"Muy deteriorada"
"36";"Arroyo El Gato";"EN083";"23/8/2022";"2022";"invierno";"12.8";"9";"2.49";"8.01";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"192000";"60";"24";"2";"22";"1.2";"1.2";"18";"<30";"8,6";" <0.10";"<0.005";"<0.001";"1960";" <0.15";"32";"Extremadamente deteriorada"
"37";"Ensenada Prefectura Isla Santiago";"EN084";"23/8/2022";"2022";"invierno";"12.7";"9";"9";"8.23";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"3000";"720";"250";"14.8";"1.9";"0.15";"0.15";"5.1";"<30";"7,3";" <0.10";"<0.005";"<0.001";"1290";" <0.15";"46";"Muy deteriorada"
"38";"Balneario Palo Blanco";"BS092";"23/8/2022";"2022";"invierno";"12";"14";"No se midió";"8.27";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"50000";"16";"3";"4.1";"12";"1.2";"1.2";"12";"<30";"8,5";" <0.10";"<0.005";"<0.001";"2900";" <0.15";"34";"Extremadamente deteriorada"
"39";"Diagonal 66 (descarga cloaca)";"BS095";"23/8/2022";"2022";"invierno";"11";"14";"No se midió";"8.13";"Presencia";"Presencia";"Presencia";"Presencia";"700000";"440";"30";"2.1";"19";"1.4";"1.4";"21";"<30";"11";" <0.10";"<0.005";"<0.001";"630";" <0.15";"23";"Extremadamente deteriorada"
"40";"Playa La Bagliardi";"BS091";"23/8/2022";"2022";"invierno";"10";"12";"No se midió";"8.32";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"9000";"2";"570";"16.2";"5.4";"1.3";"1";"no se midió";"<30";"25";" <0.10";"<0.005";"<0.001";"1730";" <0.15";"38";"Extremadamente deteriorada"
"41";"Balneario Municipal";"BS094";"23/8/2022";"2022";"invierno";"10";"12";"No se midió";"8.95";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"400";"200";"30";"5";"0.17";"0.26";"1.4";"4.6";"33";"37";" <0.10";"<0.005";"<0.001";"6410";" 0.57";"41";"Extremadamente deteriorada"
"42";"Playa La Balandra";"BS093";"23/8/2022";"2022";"invierno";"9";"11";"No se midió";"8.44";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"1300";"200";"40";"3.3";"2";"0.59";"0.59";"5.7";"34";"28";" <0.10";"<0.005";"<0.001";"720";" 0.23";"46";"Muy deteriorada"
"1";"Canal Villanueva y Río Luján";"TI001";"31/10/2022";"2022";"Primavera";"21.5";"15";"8.3";"7,8";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"160";"100";"160";"3.4";"0.1";"<0.10";"<0.10";"no se midió";"<30";"30";"<0.10";"<0.005";"<0.001";"0.3";"<0.15";"61";"Muy deteriorada"
"2";"Río Lujan y Arroyo Caraguatá";"TI006";"31/10/2022";"2022";"Primavera";"20.9";"15";"6.43";"7,58";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"200";"100";"300";"2.7";"0.83";"0.19";"0.18";"no se midió";"<30";"26";"<0.10";"<0.005";"<0.001";"0.0";"<0.15";"40";"Extremadamente deteriorada"
"3";"Canal Aliviador y Río Lujan";"TI002";"31/10/2022";"2022";"Primavera";"20.4";"14";"6.24";"7,67";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"4000";"3000";"600";"2.8";"1";"0.2";"0.20";"no se midió";"<30";"28";"<0.10";"<0.005";"<0.001";"0.4";"<0.15";"40";"Extremadamente deteriorada"
"4";"Río Carapachay y Arroyo Gallo Fiambre";"TI003";"31/10/2022";"2022";"Primavera";"20.2";"14";"5.8";"7,57";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"300";"200";"420";"2.8";"1.4";"0.33";"0.33";"no se midió";"36";"25";"<0.10";"<0.005";"<0.001";"0.3";"<0.15";"36";"Extremadamente deteriorada"
"5";"Río Reconquista y Río Lujan";"TI004";"31/10/2022";"2022";"Primavera";"19.7";"14";"5.68";"7,5";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"2400";"2100";"550";"2.7";"0.98";"0.35";"0.32";"no se midió";"33";"30";"<0.10";"<0.005";"<0.001";"0.0";"<0.15";"56";"Muy deteriorada"
"6";"Rio Tigre 100m antes del Rio Luján";"TI005";"31/10/2022";"2022";"Primavera";"20";"11";"5.24";"7,4";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"15200";"14400";"2500";"2.7";"0.83";"0.19";"0.18";"no se midió";"<30";"26";"<0.10";"<0.005";"<0.001";"0.0";"<0.15";"67";"Deteriorada"
"7";"Río Lujan y Canal San Fernando";"TI007";"31/10/2022";"2022";"Primavera";"19";"11";"6.35";"7,57";"Ausencia";"Ausencia";"Ausencia";"Presencia";"12000";"11500";"700";"2.9";"1.1";"0.32";"0.31";"no se midió";"30";"30";"<0.10";"<0.005";"<0.001";"0.5";"<0.15";"52";"Muy deteriorada"
"8";"Río Capitán y Río San Antonio";"TI008";"31/10/2022";"2022";"Primavera";"19.2";"12";"6.91";"8,02";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"830";"820";"640";"2.5";"0.1";"0.19";"0.16";"no se midió";"36";"29";"<0.10";"<0.005";"<0.001";"0.3";"<0.15";"50";"Muy deteriorada"
"9";"Arroyo Abra Vieja y Santa Rosa";"TI009";"31/10/2022";"2022";"Primavera";"18.6";"12";"7.21";"7,67";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"1060";"850";"620";"2.6";"0.12";"0.36";"0.19";"no se midió";"<30";"35";"<0.10";"6";"<0.001";"1.0";"<0.15";"50";"Muy deteriorada"
"10";"Del Arca";"SF015";"31/10/2022";"2022";"Primavera";"20.4";"14";"7.78";"6,85";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"1300";"1000";"260";"3.7";"0.74";"0.23";"0.23";"no se midió";"<30";"39";"<0.10";"<0.005";"<0.001";"0.1";"<0.15";"58";"Muy deteriorada"
"11";"Espigón La Farola";"SI021";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"";""
"12";"Reserva Ecológica";"SI022";"31/10/2022";"2022";"Primavera";"21";"19.0";"6.4";"7";"ausencia";"ausencia";"ausencia";"ausencia";"300";"160";"110";"3.6";"1.3";"0.33";"0.32";"no se midió";"39";"29";"<0.10";"<0.005";"<0.001";"5.9";"<0.15";"41";"Extremadamente deteriorada"
"13";"Playa Espigón de Pacheco";"SI024";"31/10/2022";"2022";"Primavera";"18.4";"17.0";"8.2";"7,51";"ausencia";"ausencia";"ausencia";"ausencia";"6500";"6200";"4000";"4.9";"1";"0.33";"0.33";"no se midió";"30";"29";"<0.10";"6";"<0.001";"0.6";"<0.15";"58";"Muy deteriorada"
"14";"Perú Puente";"SI023";"31/10/2022";"2022";"Primavera";"21";"19.0";"3.3";"7";"ausencia";"ausencia";"ausencia";"ausencia";"6500";"6600";"1500";"6.3";"7.1";"0.86";"0.86";"no se midió";"32";"9.3";"<0.10";"<0.005";"<0.001";"0.2";"<0.15";"51";"Muy deteriorada"
"15";"Reserva Barrio El Ceibo";"VL033";"31/10/2022";"2022";"Primavera";"19.4";"15.1";"9.91";"7,53";"ausencia";"ausencia";"ausencia";"ausencia";"2100";"1700";"310";"4.2";"0.72";"0.28";"0.27";"no se midió";"<30";"28";"<0.10";"<0.005";"<0.001";"0.0";"<0.15";"60";"Muy deteriorada"
"16";"Puerto de Olivos Espigón";"VL032";"31/10/2022";"2022";"Primavera";"18.5";"15.1";"8.62";"7,41";"ausencia";"ausencia";"ausencia";"presencia";"4200";"4000";"570";"4.4";"0.93";"0.29";"0.29";"no se midió";"<30";"19";"<0.10";"<0.005";"<0.001";"0.7";"<0.15";"50";"Muy deteriorada"
"17";"Costa y Melo";"VL031";"31/10/2022";"2022";"Primavera";"18.6";"12.3";"8.83";"7,79";"ausencia";"ausencia";"ausencia";"ausencia";"6600";"6600";"1500";"3.7";"1";"0.47";"0.30";"no se midió";"<30";"19";"<0.10";"6";"<0.001";"3.1";"<0.15";"49";"Muy deteriorada"
"18";"Parque de los Niños";"CA041";"no midieron este día";"no midieron este día";"no midieron este día";"no midieron este día";"no midieron este día";"no midieron este día";"no midieron este día";"no midieron este día";"no midieron este día";"no midieron este día";"no midieron este día";"no midieron este día";"no midieron este día";"no midieron este día";"no midieron este día";"no midieron este día";"no midieron este día";"no midieron este día";"no midieron este día";"no midieron este día";"no midieron este día";"no midieron este día";"no midieron este día";"no midieron este día";"no midieron este día";"no midieron este día";"";""
"19";"Costanera Norte - Espigón Abanico";"CA044";"no midieron este día";"no midieron este día";"no midieron este día";"no midieron este día";"no midieron este día";"no midieron este día";"no midieron este día";"no midieron este día";"no midieron este día";"no midieron este día";"no midieron este día";"no midieron este día";"no midieron este día";"no midieron este día";"no midieron este día";"no midieron este día";"no midieron este día";"no midieron este día";"no midieron este día";"no midieron este día";"no midieron este día";"no midieron este día";"no midieron este día";"no midieron este día";"no midieron este día";"no midieron este día";"";""
"20";"Club de Pescadores";"CA046";"no midieron este día";"no midieron este día";"no midieron este día";"no midieron este día";"no midieron este día";"no midieron este día";"no midieron este día";"no midieron este día";"no midieron este día";"no midieron este día";"no midieron este día";"no midieron este día";"no midieron este día";"no midieron este día";"no midieron este día";"no midieron este día";"no midieron este día";"no midieron este día";"no midieron este día";"no midieron este día";"no midieron este día";"no midieron este día";"no midieron este día";"no midieron este día";"no midieron este día";"no midieron este día";"";""
"21";"Reserva Ecológica Costanera Sur - Playita";"CA047";"no midieron este día";"no midieron este día";"no midieron este día";"no midieron este día";"no midieron este día";"no midieron este día";"no midieron este día";"no midieron este día";"no midieron este día";"no midieron este día";"no midieron este día";"no midieron este día";"no midieron este día";"no midieron este día";"no midieron este día";"no midieron este día";"no midieron este día";"no midieron este día";"no midieron este día";"no midieron este día";"no midieron este día";"no midieron este día";"no midieron este día";"no midieron este día";"no midieron este día";"no midieron este día";"";""
"22";"Escollera de Propaneros";"AV054";"31/10/2022";"2022";"Primavera";"18.89";"12";"3.99";"7,22";"Ausente";"Ausente";"Ausente";"Ausente";"700";"500";"40";"3.2";"3.3";"0.78";"0.66";"no se midió";"<30";"14";"<0.10";"7";"<0.001";"6.4";"<0.15";"37";"Extremadamente deteriorada"
"23";"Polo Petroquímico Dock Sud";"AV051";"31/10/2022";"2022";"Primavera";"18.43";"13";"5.37";"7,47";"Ausente";"Ausente";"Ausente";"Ausente";"1400";"1350";"80";"3.6";"2.2";"0.57";"0.54";"no se midió";"<30";"16";"<0.10";"<0.005";"<0.001";"0.8";"<0.15";"52";"Muy deteriorada"
"24";"Arroyo Sarandí";"AV052";"31/10/2022";"2022";"Primavera";"18.5";"14";"6.6";"7,67";"Ausente";"Ausente";"Ausente";"Ausente";"1000";"800";"20";"3.3";"2.5";"0.55";"0.54";"no se midió";"<30";"18";"<0.10";"<0.005";"<0.001";"8.2";"<0.15";"43";"Extremadamente deteriorada"
"25";"Costa de Villa Domínico";"AV055";"31/10/2022";"2022";"Primavera";"18.5";"14";"6.1";"8,02";"Ausente";"Ausente";"Ausente";"Ausente";"6000";"6000";"100";"3.3";"1.3";"30.12";"0.40";"no se midió";"<30";"15";"<0.10";"<0.005";"<0.001";"28.8";"<0.15";"40";"Extremadamente deteriorada"
"26";"Arroyo Santo Domingo";"AV053";"31/10/2022";"2022";"Primavera";"17.1";"14";"07.06";"8";"Ausente";"Ausente";"Ausente";"Ausente";"1300";"1000";"120";"3.6";"1.6";"0.67";"0.52";"no se midió";"<30";"21";"<0.10";"7";"<0.001";"40.9";"<0.15";"40";"Extremadamente deteriorada"
"27";"Espora 400 m";"QU061";"31/10/2022";"2022";"Primavera";"18.5";"13";"7.49";"7,06";"Ausencia";"Ausencia";"Ausencia";"Presencia";"80";"70";"4";"4.7";"1.3";"0.31";"0.30";"no se midió";"<30";"17";"<0.10";"<0.005";"<0.001";"0.0";"<0.15";"62";"Muy deteriorada"
"28";"Náutico 400 m";"QU062";"31/10/2022";"2022";"Primavera";"18.6";"13";"7.38";"7,08";"Ausencia";"Ausencia";"Ausencia";"Presencia";"120";"80";"20";"5.1";"0.71";"0.49";"0.31";"no se midió";"<30";"20";"<0.10";"<0.005";"<0.001";"17.0";"<0.15";"41";"Extremadamente deteriorada"
"29";"Pejerrey Club 400 m";"QU063";"31/10/2022";"2022";"Primavera";"18.3";"13";"7";"7,24";"Ausencia";"Ausencia";"Presencia";"Ausencia";"900";"800";"20";"5.6";"0.64";"0.76";"0.44";"no se midió";"39";"25";"<0.10";"6";"<0.001";"63.7";"<0.15";"36";"Extremadamente deteriorada"
"30";"Calle 14 y Costa - Salida cloaca";"BZ078";"31/10/2022";"2022";"Primavera";"15.04";"11";"11.02";"8,05";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"1600";"1600";"320";"7.2";"0.45";"0.88";"0.28";"no se midió";"37";"37";"<0.10";"12";"<0.001";"92.4";"<0.15";"40";"Extremadamente deteriorada"
"31";"Puerto Trinidad calle 47";"BZ077";"31/10/2022";"2022";"Primavera";"18.06";"16";"10.39";"8,03";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"360";"330";"100";"8.5";"0.66";"0.31";"0.31";"no se midió";"30";"25";"<0.10";"<0.005";"<0.001";"8.5";"<0.15";"39";"Extremadamente deteriorada"
"32";"Costanera Hudson Calle 63";"BZ080";"31/10/2022";"2022";"Primavera";"18.7";"12";"8.54";"7,58";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"600";"500";"270";"5.9";"0.22";"0.51";"0.31";"no se midió";"48";"34";"<0.10";"8";"<0.001";"11.7";"<0.15";"40";"Extremadamente deteriorada"
"33";"Boca Cerrada (Res.Nat. Punta Lara)";"EN-extra";"31/10/2022";"2022";"Primavera";"no se midió";"10";"no se midió";"no se midió";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"150";"100";"30";"6.2";"0.14";"0.60";"0.38";"no se midió";"72";"39";"<0.10";"10";"<0.001";"74.2";"<0.15";"41";"Extremadamente deteriorada"
"34";"Camping Eva Perón";"EN081";"31/10/2022";"2022";"Primavera";"16";"7";"11.05";"9,17";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"210";"80";"90";"5.9";"0.15";"0.36";"0.21";"no se midió";"33";"31";"<0.10";"<0.005";"<0.001";"36.5";"0.19";"38";"Extremadamente deteriorada"
"35";"Toma de agua Club de Pesca";"EN082";"31/10/2022";"2022";"Primavera";"17.2";"6";"8.38";"8,09";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"95";"35";"50";"5.7";"0.41";"0.29";"0.23";"no se midió";"46";"26";"<0.10";"<0.005";"<0.001";"29.4";"<0.15";"41";"Extremadamente deteriorada"
"36";"Arroyo El Gato";"EN083";"31/10/0202";"2022";"Primavera";"18";"4";"7.36";"7,87";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"800";"700";"220";"5.4";"2.3";"0.36";"0.23";"no se midió";"<30";"23";"<0.10";"<0.005";"<0.001";"16.7";"<0.15";"37";"Extremadamente deteriorada"
"37";"Ensenada Prefectura Isla Santiago";"EN084";"31/10/0202";"2022";"Primavera";"17.1";"5";"8.98";"8,05";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"130";"30";"45";"6.1";"0.4";"0.24";"0.24";"no se midió";"<30";"39";"<0.10";"<0.005";"<0.001";"0.6";"<0.15";"54";"Muy deteriorada"
"38";"Balneario Palo Blanco";"BS092";"31/10/2022";"2022";"Primavera";"10";"12";"no se midió";"no se midió";"Ausencia";"Ausencia";"Ausencia";"Presencia";"800";"600";"400";"6.9";"0.38";"0.24";"0.24";"no se midió";"<30";"23";"<0.10";"<0.005";"<0.001";"2.1";"<0.15";"43";"Extremadamente deteriorada"
"39";"Diagonal 66 (descarga cloaca)";"BS095";"31/10/2022";"2022";"Primavera";"10";"12";"no se midió";"no se midió";"Ausencia";"Presencia";"Ausencia";"Presencia";"80000";"80000";"12000";"5.2";"1.2";"30.12";"0.39";"no se midió";"31";"18.2";"<0.10";"<0.005";"<0.001";"20.2";"<0.15";"37";"Extremadamente deteriorada"
"40";"Playa La Bagliardi";"BS091";"31/10/2022";"2022";"Primavera";"10";"12";"no se midió";"no se midió";"Ausencia";"Ausencia";"Ausencia";"Presencia";"1400";"1000";"380";"4.6";"0.8";"0.45";"0.43";"no se midió";"<30";"40";"<0.10";"<0.005";"<0.001";"0.2";"<0.15";"49";"Muy deteriorada"
"41";"Balneario Municipal";"BS094";"31/10/2022";"2022";"Primavera";"10";"12";"no se midió";"no se midió";"Ausencia";"Ausencia";"Ausencia";"Presencia";"1800";"1500";"500";"5.2";"0.55";"0.27";"0.27";"no se midió";"39";"90";"<0.10";"5";"<0.001";"10.5";"<0.15";"39";"Extremadamente deteriorada"
"42";"Playa La Balandra";"BS093";"31/10/2022";"2022";"Primavera";"10";"12";"no se midió";"no se midió";"Ausencia";"Ausencia";"Ausencia";"Presencia";"900";"600";"480";"5.1";"0.21";"0.48";"0.35";"no se midió";"<30";"70";"<0.10";"5";"<0.001";"48.0";"<0.15";"34";"Extremadamente deteriorada"